time,High_level,linear_acc.x,linear_acc.y,linear_acc.z
70.9892847538,Inactive,1434.0,644.0,-441.0
71.0099995136,Inactive,1319.0,925.0,-100.0
71.0313265324,Inactive,1332.0,1113.0,-193.0
71.0505666733,Inactive,1393.0,1180.0,-292.0
71.0711894035,Inactive,1373.0,966.0,-311.0
71.0914235115,Inactive,1250.0,905.0,-148.0
71.1120946407,Inactive,1083.0,861.0,1.0
71.1332471371,Inactive,964.0,780.0,5.0
71.15287327770001,Inactive,888.0,789.0,-70.0
71.1736009121,Inactive,1024.0,908.0,-294.0
71.1900649071,Inactive,1132.0,896.0,-402.0
71.2110469341,Inactive,1134.0,801.0,-461.0
71.2316040993,Inactive,1012.0,526.0,-515.0
71.2515647411,Inactive,1004.0,544.0,-527.0
71.2720086575,Inactive,998.0,626.0,-523.0
71.2922542095,Inactive,1020.0,945.0,-452.0
71.3130128384,Inactive,1054.0,1117.0,-320.0
71.33409357069999,Inactive,1219.0,1289.0,-225.0
71.3537724018,Inactive,1205.0,1231.0,-26.0
71.3744111061,Inactive,1146.0,1097.0,-129.0
71.39450192449999,Inactive,790.0,1056.0,-410.0
71.414996624,Inactive,632.0,1047.0,-505.0
71.4362270832,Inactive,550.0,1100.0,-524.0
71.46016573909999,Inactive,653.0,1196.0,-413.0
71.4805679321,Inactive,706.0,1116.0,-334.0
71.5020196438,Inactive,790.0,774.0,-320.0
71.521948576,Inactive,814.0,641.0,-417.0
71.54212641720001,Inactive,816.0,637.0,-496.0
71.5634400845,Inactive,778.0,786.0,-511.0
71.5830087662,Inactive,741.0,1174.0,-405.0
71.6036481857,Inactive,829.0,1139.0,-382.0
71.6240410805,Inactive,1058.0,924.0,-391.0
71.6444020271,Inactive,1068.0,893.0,-324.0
71.6651008129,Inactive,1088.0,854.0,-258.0
71.685407877,Inactive,1253.0,1075.0,-47.0
71.7062213421,Inactive,1192.0,1285.0,144.0
71.7264950275,Inactive,1087.0,1444.0,219.0
71.7472350597,Inactive,744.0,1334.0,41.0
71.76803517340001,Inactive,546.0,1020.0,-183.0
71.788418293,Inactive,327.0,624.0,-634.0
71.8087966442,Inactive,358.0,761.0,-645.0
71.8292336464,Inactive,522.0,964.0,-450.0
71.8492159843,Inactive,807.0,992.0,261.0
